input_size table_size m m1 m2 A c1 c2 chain_m division input_max
1000 1250 1250 1250 1250 0.618 1 2 625 div 1000000
10000 12500 12500 12500 12500 0.618 1 2 6250 div 1000000
100000 125000 125000 125000 125000 0.618 1 2 62500 div 1000000
1000000 1250000 1250000 1250000 1250000 0.618 1 2 625000 div 1000000
10000000 12500000 12500000 12500000 12500000 0.618 1 2 6250000 div 1000000
1000 1250 1250 1250 1250 0.618 1 2 625 mult 1000000
10000 12500 12500 12500 12500 0.618 1 2 6250 mult 1000000
100000 125000 125000 125000 125000 0.618 1 2 62500 mult 1000000
1000000 1250000 1250000 1250000 1250000 0.618 1 2 625000 mult 1000000
10000000 12500000 12500000 12500000 12500000 0.618 1 2 625000 mult 1000000
1000 1250 1223 1217 1123 0.618 1 2 625 div 1000000
10000 12500 12251 12899 12373 0.618 1 2 6250 div 1000000
100000 125000 122497 121621 121379 0.618 1 2 62500 div 1000000
1000000 1250000 1252259 1252523 1251157 0.618 1 2 625000 div 1000000
10000000 12500000 12502481 12501991 12503371 0.618 1 2 6250000 div 1000000
1000 1250 1223 1217 1123 0.618 1 2 625 div 1000000
10000 12500 12251 12899 12373 0.618 1 2 6250 mult 1000000
100000 125000 122497 121621 121379 0.618 1 2 62500 mult 1000000
1000000 1250000 1252259 1252523 1251157 0.618 1 2 625000 mult 1000000
10000000 12500000 12502481 12501991 12503371 0.618 1 2 6250000 mult 1000000
